experiment_id,run_number,policy,domain,url,experiment_count,experiment_code,timestamp,timezone_offset,local_time,default_dns_servers,default_lookup_status,default_lookup_success,default_lookup_ips,cloudflare_lookup_status,cloudflare_lookup_success,cloudflare_lookup_ips,all_ips,page_load_success,page_load_status
0,0,"us_nordvpn_obfs_bridged","shahidlive.co","https://shahidlive.co/",0,"shahidlive.co_0",1616710617423,420,"3/25/2021, 3:16:57 PM","[""127.0.0.53""]","success",1,"[""212.179.121.131""]","success",1,"[""212.179.121.131""]","[""212.179.121.131""]",1,"success"
1,0,"us_nordvpn_obfs_bridged","katib.net","https://katib.net/",0,"katib.net_0",1616710632557,420,"3/25/2021, 3:17:12 PM","[""127.0.0.53""]","success",1,"[""213.108.104.110""]","success",1,"[""213.108.104.110""]","[""213.108.104.110""]",1,"success"
2,0,"us_nordvpn_obfs_bridged","dailysabah.com","https://www.dailysabah.com/",0,"dailysabah.com_0",1616710642658,420,"3/25/2021, 3:17:22 PM","[""127.0.0.53""]","success",1,"[""194.36.160.50""]","success",1,"[""194.36.160.50""]","[""194.36.160.50""]",1,"success"
3,0,"us_nordvpn_obfs_bridged","avert.org","http://www.avert.org/",0,"avert.org_0",1616710656486,420,"3/25/2021, 3:17:36 PM","[""127.0.0.53""]","success",1,"[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]","success",1,"[""104.26.8.235"",""104.26.9.235"",""172.67.71.72""]","[""172.67.71.72"",""104.26.8.235"",""104.26.9.235""]",1,"success"
4,0,"us_nordvpn_obfs_bridged","proxylisty.com","http://proxylisty.com/",0,"proxylisty.com_0",1616710667776,420,"3/25/2021, 3:17:47 PM","[""127.0.0.53""]","success",1,"[""45.77.186.199""]","success",1,"[""45.77.186.199""]","[""45.77.186.199""]",1,"success"
5,0,"us_nordvpn_obfs_bridged","aljazeera.net","http://www.aljazeera.net",0,"aljazeera.net_0",1616710676632,420,"3/25/2021, 3:17:56 PM","[""127.0.0.53""]","success",1,"[""13.49.103.61"",""13.48.205.10"",""13.53.128.5""]","success",1,"[""13.49.103.61"",""13.53.128.5"",""13.48.205.10""]","[""13.49.103.61"",""13.48.205.10"",""13.53.128.5""]",1,"success"
6,0,"us_nordvpn_obfs_bridged","bypasstool.gq","http://www.bypasstool.gq",0,"bypasstool.gq_0",1616710690076,420,"3/25/2021, 3:18:10 PM","[""127.0.0.53""]","success",1,"[""195.20.50.134""]","success",1,"[""195.20.50.134""]","[""195.20.50.134""]",1,"success"
7,0,"us_nordvpn_obfs_bridged","studies.aljazeera.net","http://studies.aljazeera.net/",0,"studies.aljazeera.net_0",1616710700370,420,"3/25/2021, 3:18:20 PM","[""127.0.0.53""]","success",1,"[""104.122.67.34""]","success",1,"[""23.202.110.170""]","[""104.122.67.34"",""23.202.110.170""]",1,"success"
8,0,"us_nordvpn_obfs_bridged","egybest.pw","http://egybest.pw",0,"egybest.pw_0",1616710712571,420,"3/25/2021, 3:18:32 PM","[""127.0.0.53""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","success",1,"[""104.21.8.181"",""172.67.157.163""]","[""104.21.8.181"",""172.67.157.163""]",1,"success"
9,0,"us_nordvpn_obfs_bridged","payu.in","http://payu.in",0,"payu.in_0",1616710722882,420,"3/25/2021, 3:18:42 PM","[""127.0.0.53""]","success",1,"[""65.1.34.99"",""13.232.230.23""]","success",1,"[""13.232.230.23"",""65.1.34.99""]","[""65.1.34.99"",""13.232.230.23""]",1,"success"
10,0,"us_nordvpn_obfs_bridged","tejaratnews.com","http://tejaratnews.com",0,"tejaratnews.com_0",1616710737382,420,"3/25/2021, 3:18:57 PM","[""127.0.0.53""]","success",1,"[""185.129.169.84""]","success",1,"[""185.129.169.84""]","[""185.129.169.84""]",1,"success"
11,0,"us_nordvpn_obfs_bridged","al-watan.com","http://al-watan.com/",0,"al-watan.com_0",1616710750524,420,"3/25/2021, 3:19:10 PM","[""127.0.0.53""]","success",1,"[""80.76.165.99""]","success",1,"[""80.76.165.99""]","[""80.76.165.99""]",1,"success"
12,0,"us_nordvpn_obfs_bridged","raya.com","https://www.raya.com/portal",0,"raya.com_0",1616710772696,420,"3/25/2021, 3:19:32 PM","[""127.0.0.53""]","success",1,"[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]","success",1,"[""104.26.10.92"",""104.26.11.92"",""172.67.74.185""]","[""104.26.11.92"",""104.26.10.92"",""172.67.74.185""]",1,"success"
13,0,"us_nordvpn_obfs_bridged","raya.com","https://www.raya.com/",1,"raya.com_1",1616710792524,420,"3/25/2021, 3:19:52 PM","[""127.0.0.53""]","success",1,"[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]","success",1,"[""172.67.74.185"",""104.26.11.92"",""104.26.10.92""]","[""172.67.74.185"",""104.26.10.92"",""104.26.11.92""]",1,"success"
14,0,"us_nordvpn_obfs_bridged","sasapost.com","https://sasapost.com/",0,"sasapost.com_0",1616710807669,420,"3/25/2021, 3:20:07 PM","[""127.0.0.53""]","success",1,"[""104.21.27.29"",""172.67.140.243""]","success",1,"[""172.67.140.243"",""104.21.27.29""]","[""104.21.27.29"",""172.67.140.243""]",1,"success"
15,0,"us_nordvpn_obfs_bridged","yanairgate.net","http://yanairgate.net/",0,"yanairgate.net_0",1616710820772,420,"3/25/2021, 3:20:20 PM","[""127.0.0.53""]","success",1,"[""3.13.31.214""]","success",1,"[""3.13.31.214""]","[""3.13.31.214""]",1,"success"
16,0,"us_nordvpn_obfs_bridged","akproxy.gq","http://www.akproxy.gq",0,"akproxy.gq_0",1616710830498,420,"3/25/2021, 3:20:30 PM","[""127.0.0.53""]","success",1,"[""195.20.52.148""]","success",1,"[""195.20.52.148""]","[""195.20.52.148""]",1,"success"
17,0,"us_nordvpn_obfs_bridged","ikhwanonline.com","http://www.ikhwanonline.com",0,"ikhwanonline.com_0",1616710845640,420,"3/25/2021, 3:20:45 PM","[""127.0.0.53""]","success",1,"[""104.21.88.190"",""172.67.152.47""]","success",1,"[""104.21.88.190"",""172.67.152.47""]","[""104.21.88.190"",""172.67.152.47""]",1,"success"
18,0,"us_nordvpn_obfs_bridged","de.lirio.us","http://de.lirio.us/",0,"de.lirio.us_0",1616710859456,420,"3/25/2021, 3:20:59 PM","[""127.0.0.53""]","success",1,"[""162.210.196.167""]","success",1,"[""207.244.67.139""]","[""162.210.196.167"",""207.244.67.139""]",1,"success"
19,0,"us_nordvpn_obfs_bridged","al-akhbar.com","https://al-akhbar.com/",0,"al-akhbar.com_0",1616710870944,420,"3/25/2021, 3:21:10 PM","[""127.0.0.53""]","success",1,"[""172.67.75.16"",""104.26.3.184"",""104.26.2.184""]","success",1,"[""172.67.75.16"",""104.26.3.184"",""104.26.2.184""]","[""172.67.75.16"",""104.26.3.184"",""104.26.2.184""]",1,"success"
20,0,"us_nordvpn_obfs_bridged","ipvanish.com","https://www.ipvanish.com/",0,"ipvanish.com_0",1616710888431,420,"3/25/2021, 3:21:28 PM","[""127.0.0.53""]","success",1,"[""151.101.194.133"",""151.101.2.133"",""151.101.66.133"",""151.101.130.133""]","success",1,"[""151.101.2.133"",""151.101.194.133"",""151.101.66.133"",""151.101.130.133""]","[""151.101.194.133"",""151.101.2.133"",""151.101.66.133"",""151.101.130.133""]",1,"success"
21,0,"us_nordvpn_obfs_bridged","ampproject.org","https://www.ampproject.org/",0,"ampproject.org_0",1616710901107,420,"3/25/2021, 3:21:41 PM","[""127.0.0.53""]","success",1,"[""172.217.2.206""]","success",1,"[""172.217.3.142""]","[""172.217.2.206"",""172.217.3.142""]",0,"net::ERR_NAME_NOT_RESOLVED at https://www.ampproject.org/"
22,0,"us_nordvpn_obfs_bridged","thenewkhalij.org","http://thenewkhalij.org",0,"thenewkhalij.org_0",1616710918458,420,"3/25/2021, 3:21:58 PM","[""127.0.0.53""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","success",1,"[""172.67.211.234"",""104.21.77.219""]","[""172.67.211.234"",""104.21.77.219""]",1,"success"
23,0,"us_nordvpn_obfs_bridged","shadowsocks.org","https://shadowsocks.org/",0,"shadowsocks.org_0",1616710930747,420,"3/25/2021, 3:22:10 PM","[""127.0.0.53""]","success",1,"[""104.21.21.10"",""172.67.195.168""]","success",1,"[""172.67.195.168"",""104.21.21.10""]","[""104.21.21.10"",""172.67.195.168""]",1,"success"
